Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
NGC 4125,31.51,0.41,20.1,FP,2001MNRAS.327.1004B,08:06.0,+65:10:26.9,130.2,51.3,E.6.P,1468
UGC 07131,30.8,...,14,BS,1998A&AS..128..459M,09:11.7,+30:54:24.4,188.2,80,S..8*,249
IC 3019,31,0.1,15.9,SBF,2004AJ....127..771J,09:22.3,+13:59:33.1,264.1,73.6,E,1745
IC 3019,30.44,...,12.2,GC radius,2005ApJ...634.1002J,09:22.3,+135:9:33.1,264.1,73.6,E,1745
NGC 4138,30.7,0.26,13.8,SBF,2001ApJ...546..681T,09:29.8,+43:41:07.1,147.3,71.4,LAR+,969
NGC 4138,31.12,...,16.7,Tully-Fisher,2003astro.ph.10284R,09:29.8,+43:41:07.1,147.3,71.4,LAR+,969
NGC 4138,31.23,...,17.6,Tully-Fisher,2003astro.ph.10284R,09:29.8,+43:41:07.1,147.3,71.4,LAR+,969
NGC 4138,31.78,...,22.7,Tully-Fisher,2003astro.ph.10284R,09:29.8,+43:41:07.1,147.3,71.4,LAR+,969
NGC 4138,31.97,...,24.8,Tully-Fisher,2003astro.ph.10284R,09:29.8,+43:41:07.1,147.3,71.4,LAR+,969
NGC 4143,30.85,0.19,14.8,SBF,2003ApJ...583..712J,09:36.1,+42:32:03.1,149.2,72.4,LXS0,824
NGC 4143,31.01,0.19,15.9,SBF,2001ApJ...546..681T,09:36.1,+42:32:03.1,149.2,72.4,LXS0,824
NGC 4144,29.3,0.1,7.24,TRGB,2005Ap.....48..221T,09:58.6,+46:27:25.8,143.2,69,SXS6$/,321
NGC 4144,29.36,0.03,7.45,TRGB,2005AJ....129.1331S,09:58.6,+46:27:25.8,143.2,69,SXS6$/,321
NGC 4144,29.93,...,9.7,BS,1998A&AS..131....1K,09:58.6,+46:27:25.8,143.2,69,SXS6$/,321
NGC 4150,31.51,...,20,GCLF,2003A&A...398..467K,10:33.7,+30:24:05.5,190.4,80.5,LAR0$,242
NGC 4150,30.53,0.24,12.8,SBF,2003ApJ...583..712J,10:33.7,+30:24:05.5,190.4,80.5,LAR0$,242
NGC 4150,30.69,0.24,13.7,SBF,2001ApJ...546..681T,10:33.7,+30:24:05.5,190.4,80.5,LAR0$,242
NGC 4150,30.79,0.11,14.4,SBF,2005A&A...437..823R,10:33.7,+302:4:05.5,190.4,80.5,LAR0$,242
